"","Country.Name","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","X2008..YR2008.","X2009..YR2009.","X2010..YR2010.","X2011..YR2011.","X2012..YR2012.","X2013..YR2013.","X2014..YR2014.","X2015..YR2015.","X2016..YR2016.","gerkmeans.cluster"
"1","Afghanistan",73.3095932,99.24848938,111.2605591,104.1713715,107.817421,104.6908188,106.4537735,102.2252884,105.5209274,102.8096313,108.9285202,110.0654373,111.744133,90.8310724888889,99.025328828,2
"3","Algeria",105.1563721,106.0329895,107.0486984,107.7446594,108.2872086,109.6284027,109.3120575,112.4307404,115.4546127,116.7469177,118.2673569,119.7516632,118.7494736,113.945419316667,102.407495122,10
"6","Angola",111.893165592308,99.8286209153846,99.78939056,108.529072836364,89.36720276,105.2104034,111.9137573,111.1583405,113.5078735,128.7041473,82.3938991830769,107.549366876923,102.501325746154,98.6353503154545,82.3938991830769,4
"8","Argentina",118.758522,116.5013123,117.8136368,117.1332932,118.8351974,119.3486862,119.4411621,118.2114105,116.7181625,114.7684708,112.9782562,110.5659866,102.507320695385,108.062845084615,90.8310724888889,1
"10","Aruba",110.9983063,109.2143021,110.8390503,111.3767166,114.2385864,115.224411,113.0788269,113.7757416,113.7417831,105.2193985,104.0627594,116.108017,117.3180389,106.143142733333,113.945419316667,10
"11","Australia",101.150238,101.274971,101.8791199,102.3891525,103.0109634,104.9848633,105.0581284,105.3190613,105.7040863,105.9915009,106.4533234,106.5677719,90.7451025146154,106.338101058333,106.4644877,2
"13","Azerbaijan",98.34942627,96.21324158,97.26132965,95.52696991,94.21665955,94.77120209,94.07247162,95.068573,93.76229858,95.57363129,97.95530701,100.5004501,106.0598907,104.199249269231,98.6353503154545,2
"14","Bahamas, The",94.44444275,100.729174693077,103.7418365,109.1632309,107.8449631,111.2169724,111.244339,107.3528976,107.8977509,107.45090179,90.8310724888889,121.404295925,88.8852361055555,102.0045026,107.393849696667,10
"16","Bangladesh",114.0989044,100.532933541667,105.428770192308,98.66104126,99.40104675,98.60388947,96.54550171,99.76931763,102.6562881,111.8765564,113.945419316667,93.3605995225,98.98592948,101.867755258333,105.052583551538,2
"18","Belarus",111.0736694,100.9463882,98.62963104,97.30198669,98.436203,100.9466629,104.0266495,105.076683,103.449913,101.2123718,98.97614288,97.80240631,98.96627808,105.778347557143,106.338101058333,2
"20","Belize",107.2696075,111.1721115,112.8914108,113.3220596,113.7301178,113.1587601,112.3514404,113.0153809,112.550499,111.4111176,113.7917099,112.0314484,111.7301865,111.070661766667,104.199249269231,10
"22","Bermuda",101.509201,101.6246567,100.3965836,99.1047287,97.11438751,77.5966162236364,82.3938991830769,108.311587405385,92.28388977,89.83261108,87.50518799,86.45133972,87.47599792,104.660271325,96.6093928033333,2
"24","Bolivia",121.6269531,119.1049728,115.5439377,97.97987302,113.4143295,112.6471634,111.5192337,107.915896328182,109.102699284167,97.9838104209091,100.03295254,99.4797369146154,103.711228006154,105.428770192308,99.552537538,10
"25","Bosnia and Herzegovina",101.564505442857,54.7784591092308,99.2726281976923,114.814225992308,123.431042063636,79.9173590358333,111.172302225,109.197001530769,65.9893207566667,97.22232819,100.4945679,101.225708,100.1723175,99.2726281976923,105.778347557143,2
"26","Botswana",107.5896683,107.6238022,107.1383896,107.1951675,107.6448669,106.6902695,106.4792175,107.5096664,114.4490348,109.307496869231,108.0655823,108.5723877,101.772817762308,115.596854569231,108.567791757,10
"27","Brazil",146.8277893,140.5444946,133.6963043,133.2621613,103.591889593846,128.1797943,132.0552063,131.1651611,107.39365317,132.4966125,130.3760223,109.7704926,111.893165592308,99.9440818269231,111.070661766667,1
"28","British Virgin Islands",103.0425186,100.0359802,99.75273895,99.45092773,97.62859344,98.99186707,90.8310724888889,94.58724213,103.514560412308,95.00453949,95.53140259,96.20825195,97.58785248,104.780436204167,99.78939056,2
"29","Brunei Darussalam",109.0295181,112.1398773,112.602272,112.0958862,111.7696991,110.9496765,108.5753479,107.6157913,107.1307373,107.4089508,106.7837296,107.4519424,107.4440308,113.164476253846,104.660271325,10
"31","Burkina Faso",47.06068039,49.31790924,53.88323975,58.33338165,62.06523895,67.66522217,73.20320129,77.55835724,77.83035278,81.28205109,83.68218994,85.26255798,86.89006805,110.64775086,105.428770192308,3
"32","Burundi",64.46746826,69.87505341,74.71753693,79.06214905,100.0449982,111.2996216,118.0977783,126.0699387,131.456955,135.1190491,133.3052826,130.4593048,127.6357727,105.80238038,99.2726281976923,5
"33","Cabo Verde",115.1781387,113.5362473,111.2929611,110.2146301,110.4459381,110.124939,110.538208,110.8786087,111.6826019,112.7966232,113.2207336,114.2315216,113.1533585,99.36423023,115.596854569231,10
"34","Cambodia",128.9844971,131.0161438,131.4718933,130.4382477,128.377533,127.3904037,123.3103104,122.8362122,123.3898773,121.7045898,121.3544617,123.0083313,116.3896408,99.2752886645455,99.9440818269231,1
"38","Central African Republic",68.66033173,68.08614349,58.47304916,65.03376007,64.75450134,75.01068115,86.83096313,88.86504364,91.80876923,92.5838089,93.45572662,106.899375928571,114.0989044,134.438621516667,110.64775086,3
"39","Chad",70.05877686,71.94307709,75.35385132,71.90290833,71.28170776,70.16066742,78.18197632,82.5393219,82.60771942,89.57610321,93.9981308,101.404068,101.564505442857,101.30352901,105.80238038,3
"40","Channel Islands",111.938149084615,113.626868566667,99.9440818269231,100.966008001,105.197178773846,105.871530969231,113.945419316667,98.107210541,117.835006081667,69.5411115784615,107.393849696667,107.5124639,116.756174716667,114.6594305,99.36423023,9
"41","Chile",108.1068802,106.6762924,110.4935684,109.5047226,108.9910507,109.1213226,108.7578812,106.7561798,103.2851334,102.197052,101.7256012,100.1880798,100.5261383,76.5135861907692,99.2752886645455,4
"43","Colombia",120.98703,102.911895128333,125.0216217,127.5044098,128.7162933,129.4152069,129.4988861,129.6851501,124.2846375,120.5187302,116.5612106,116.6210709,113.7466202,113.172393811111,90.783150483,1
"44","Comoros",111.2042465,109.5902176,107.4060287,101.700691917273,100.845707226923,102.7860489,107.2590408,109.827052718182,98.5492401107143,106.3637238,108.062845084615,105.2490463,99.37555884875,92.5965159484615,137.488030061538,7
"45","Congo, Dem. Rep.",64.08535004,120.326674830769,113.164476253846,137.079817553846,112.69714661,88.94091034,96.94863892,96.1054306,95.74353027,97.03485107,101.4593811,102.9025879,106.9730911,102.803192138462,134.438621516667,7
"46","Congo, Rep.",106.3671188,100.7434464,112.5652313,111.8525925,112.1687469,109.6132126,107.2432785,111.0634689,113.0668793,113.3167725,110.8884583,66.6213188185714,111.938149084615,103.519929753846,101.30352901,10
"47","Costa Rica",111.7081833,88.818667415,115.4069977,112.9710388,114.7821274,114.0111237,115.4865723,117.0318069,116.9942017,115.9748764,114.5540466,111.833313,110.7868729,108.439680115,114.6594305,10
"48","Cote d'Ivoire",76.95688629,72.4408493,96.690112302,107.478838827273,69.16043091,69.65470886,73.61167908,72.95069122,98.9888860563636,81.5593338,84.99391174,86.54437256,89.60569,95.6255105823077,76.5135861907692,3
"50","Cuba",100.4446716,98.44241333,98.59755707,98.86559296,99.23407745,100.0514297,100.5800934,102.259903,102.4280167,101.358429,99.84461212,97.55180359,98.11347198,108.311587405385,113.172393811111,2
"51","Curacao",104.148598358333,59.432041485,105.80238038,93.1408977525,99.805690012,110.070396418182,106.4644877,100.109480954444,98.0755265525,107.816223742308,105.052583551538,175.2441864,104.148598358333,107.915896328182,92.5965159484615,5
"52","Cyprus",97.77345276,97.61051178,97.74523163,100.8579483,102.3869095,102.4738388,103.3517075,105.3647614,101.6243286,101.2005386,100.1753464,99.76197815,99.15271759,109.197001530769,102.803192138462,2
"53","Czech Republic",101.7266006,99.2080307,98.7841568,99.40908051,100.1909485,103.3758774,105.9328537,106.1737137,103.9991989,100.9491882,99.57389069,98.94242859,98.8651886,100.928225203333,103.519929753846,2
"54","Denmark",103.3920822,100.8825441975,100.813118,98.81240082,99.37619781,100.0709991,99.65422058,99.59220123,99.60513306,100.8024673,101.3751068,101.5692825,101.3319931,98.107210541,108.439680115,2
"55","Djibouti",36.75651169,38.80677032,41.22978973,43.44107819,46.78155899,50.00484848,60.4234314,59.73522949,119.897882642727,65.51165009,67.93322754,67.2782135,67.95456696,66.26309204,95.6255105823077,3
"57","Dominican Republic",115.3736877,112.8727417,105.1703796,105.9766235,101.6888733,111.9089203,107.7286072,109.5429993,107.4461212,105.8355026,102.91436,102.9281235,100.6534882,100.109480954444,108.311587405385,10
"58","Ecuador",113.0507202,112.5536804,111.9520187,111.729187,111.6337433,112.9336319,100.03295254,110.7757874,115.6183319,117.1989212,116.9832993,115.8208389,113.2722626,130.306209028571,107.915896328182,10
"59","Egypt, Arab Rep.",96.29441071,97.97001648,99.66700745,100.305069,103.055809,105.1552811,98.6353503154545,107.6641312,107.1078415,102.0531769,106.2045364,105.5357285,103.9297333,107.549366876923,109.197001530769,2
"61","Equatorial Guinea",106.8420334,98.08408356,99.36423023,96.20430756,118.35144272,123.546738941667,81.14849854,80.70523834,81.56198883,81.54579926,84.45738983,111.993172284615,100.968125562308,99.4141088530769,98.107210541,2
"62","Eritrea",61.50107956,67.14526367,70.18131256,70.63191223,68.01191711,61.28168106,56.98571014,53.10298157,48.93296051,51.25677109,52.91733932,51.235569,96.8716501038462,121.404295925,109.827052718182,3
"63","Estonia",102.3747406,101.1818085,99.67962646,98.91074371,97.70197296,98.90332794,101.6079407,103.0712814,103.0379562,101.7153473,101.7095718,100.6962128,106.61330414375,56.7381128161538,100.109480954444,4
"64","Ethiopia",63.55118942,64.88963318,67.81620026,79.09095764,83.43901062,89.32125854,95.01277924,93.70031738,91.97376251,94.70565796,94.77941895,107.699417122222,100.1229095,93.3605995225,130.306209028571,3
"67","Finland",100.5252914,99.81598663,98.93096161,98.56179047,98.1259613,98.52549744,98.80297852,98.9200592,99.12770844,99.43495178,100.4138107,100.826149,101.4284363,97.9787680881818,99.4141088530769,2
"68","France",104.0633087,103.7358322,103.2196121,108.9119186,109.149971,109.7601318,109.7228012,109.0777283,108.262619,107.7210236,106.230072,105.6433105,105.3583603,88.4747232292308,121.404295925,10
"72","Georgia",92.35395813,92.24169159,94.71575928,95.08524323,100.6180115,107.3008118,110.1425323,110.483017,109.9229813,110.7276764,114.5301285,116.9001923,116.8619614,108.529072836364,99.4797369146154,5
"73","Germany",104.7427063,104.1538391,104.7348938,104.6836624,105.5820007,105.9588776,105.0134964,104.2170792,103.6879883,103.105751,103.0903015,103.0388031,103.33461,111.993172284615,97.9787680881818,2
"74","Ghana",83.72650909,80.08522034,83.79238129,90.35444641,95.35131073,100.9746094,106.7331619,105.5455093,102.7480564075,106.6694107,109.7110672,108.4762802,106.4636612,109.9253998,88.4747232292308,2
"75","Gibraltar",106.61330414375,107.50704956,137.488030061538,107.25125185,90.7451025146154,114.295096725,106.143142733333,121.404295925,89.36720276,103.42371368,104.199249269231,100.966008001,103.103107753846,107.699417122222,106.899375928571,10
"76","Greece",97.63342285,98.685112,99.78009796,99.0832901,98.89067841,98.70374298,106.338101058333,56.7381128161538,100.2539673,99.32935333,99.29279327,98.60083008,112.186603846154,97.97987302,107.5124639,6
"81","Guinea",69.52690125,73.32543945,76.80081177,79.15830231,80.93504333,82.8649826,83.65454865,82.9730072,84.56021118,87.30740356,88.670578,90.08528137,91.25817871,101.700691917273,97.97987302,3
"82","Guinea-Bissau",97.8153395236364,141.1443278,103.4740524,110.7981796,116.7619934,99.8286209153846,102.0045026,99.4797369146154,113.6549835,79.9173590358333,99.552537538,137.079817553846,100.442752551538,137.079817553846,114.814225992308,9
"83","Guyana",101.295768138462,98.50676727,114.6594305,99.31186676,92.9807663,92.490242,91.2252121,85.86206818,85.37081146,86.29354858,85.43836975,107.478838827273,115.642765033333,107.478838827273,90.931591796,2
"85","Honduras",112.186603846154,115.4546432,114.603241,111.5871811,116.7274399,112.8363419,115.2745514,114.8880615,116.5826874,116.1793365,113.2668915,110.7950287,109.1496277,121.553132861538,101.619486718182,10
"86","Hong Kong SAR, China",110.298361459167,105.529535748462,94.6928974976923,101.265637330769,101.772817762308,100.729174693077,101.867755258333,88.4747232292308,103.591889593846,105.871530969231,102.5401764,105.8274536,111.0258331,99.81552718,101.700691917273,2
"87","Hungary",99.03938293,98.13069916,97.48351288,98.08616638,99.40265656,99.48642731,101.5307693,102.1933594,102.0826035,101.1075974,100.3002472,100.0732117,101.5117493,79.3565864575,137.079817553846,7
"88","Iceland",100.1049881,99.39672852,97.89572906,97.93224335,97.94584656,98.04138947,98.64282227,99.12690735,98.68829346,98.54683685,98.66706848,121.553132861538,107.45090179,100.668544479231,107.478838827273,2
"89","India",95.02355957,102.9623489,113.172393811111,102.071920541538,111.893165592308,110.2214432,110.8635025,109.5730286,109.1836472,108.3747177,109.7577515,110.5846481,131.83740386,107.25125185,93.1408977525,10
"90","Indonesia",109.9067078,109.4723434,108.829361,107.7922287,106.0453873,109.0557404,107.5075073,108.1407089,108.656311,108.6352463,108.691452,106.3430328,105.7409592,127.886835766667,121.553132861538,10
"93","Ireland",106.0957565,106.972023,107.1159668,106.6860275,106.7267838,108.0107574,108.027977,107.9256973,106.7894821,105.2078781,103.6377563,102.8611069,109.307496869231,101.265637330769,100.668544479231,10
"95","Israel",105.8631973,105.4005737,105.0619888,103.5446167,102.6209488,103.1577225,102.5333176,102.904953,104.2485809,104.9834824,105.5940781,104.500412,104.1763687,109.133052405556,127.886835766667,7
"98","Japan",101.1022415,101.3231506,101.8598404,101.9082413,102.088913,101.9826889,101.4906769,101.9602966,102.1928635,102.6288681,102.3000412,101.5752411,112.099577676923,84.24507141,101.265637330769,2
"99","Jordan",105.7026978,107.0124283,107.0836411,105.5499725,103.1163101,100.0045776,97.53838348,108.529072836364,91.01065063,89.78766632,88.71904755,107.25125185,125.359395546154,104.764145484615,102.071920541538,2
"100","Kazakhstan",100.9882584,101.9571075,102.6666183,101.7064133,100.5959702,101.822319,106.0378189,107.2134705,107.5972595,108.5714874,109.1691818,110.6585083,111.3487701,110.5636826,109.133052405556,10
"101","Kenya",91.90972137,107.3709412,107.4184494,107.6782608,105.5734024,112.6296387,112.3023987,113.2679977,112.69714661,94.4659745933333,116.1312485,127.886835766667,111.3958588,99.8020935084615,29.20210075,4
"106","Kuwait",108.9784622,109.9151688,108.9412918,108.7072601,103.57798,104.8392105,101.5178375,101.6311035,102.8022079,106.8013687,105.9889221,104.1896896,102.6835098,65.9893207566667,93.6091175125,4
"107","Kyrgyz Republic",95.42067719,96.02071381,97.12503815,97.73885345,98.85112762,97.37610626,97.5433197,97.36158752,97.97509766,98.43942261,102.9465332,106.0738907,107.6717987,114.4490348,103.286692283333,2
